student_id,week,total_logins,total_videos,total_assignments,dropout,login_risk,assignment_risk,final_risk_score,risk_level
MHxPC130000004,18.0,18.0,0.0,1,0,20,20,20.0,Low Risk
MHxPC130000004,30.0,26.0,0.0,0.99,0,20,20,20.0,Low Risk
MHxPC130000006,16.0,3.0,0.0,0,0,60,20,40.0,Low Risk
MHxPC130000007,12.0,5.0,0.0,0,0,20,20,20.0,Low Risk
MHxPC130000011,27.0,50.0,0.0,0,0,20,20,20.0,Low Risk
MHxPC130000016,46.0,0.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000021,19.0,18.0,0.0,0,0,20,20,20.0,Low Risk
MHxPC130000024,32.0,3.0,0.0,0.01,0,60,20,40.0,Low Risk
MHxPC130000024,35.0,4.0,0.0,0,0,20,20,20.0,Low Risk
MHxPC130000026,17.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000030,41.0,2.0,0.0,0,0,60,20,40.0,Low Risk
MHxPC130000031,31.0,14.0,0.0,0.66,0,20,20,20.0,Low Risk
MHxPC130000032,14.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000033,46.0,0.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000034,31.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000035,17.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000038,9.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000049,33.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000058,27.0,14.0,0.0,0,0,20,20,20.0,Low Risk
MHxPC130000059,1.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000060,30.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000071,35.0,44.0,0.0,0.7,0,20,20,20.0,Low Risk
MHxPC130000082,20.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000088,11.0,4.0,0.0,0,0,20,20,20.0,Low Risk
MHxPC130000088,16.0,8.0,0.0,0,0,20,20,20.0,Low Risk
MHxPC130000089,9.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000095,30.0,8.0,0.0,0,0,20,20,20.0,Low Risk
MHxPC130000099,28.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000101,31.0,4.0,0.0,0,0,20,20,20.0,Low Risk
MHxPC130000105,2.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000106,23.0,11.0,140.0,00,0,20,20,20.0,Low Risk
MHxPC130000109,23.0,2.0,0.0,0,0,60,20,40.0,Low Risk
MHxPC130000114,13.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000115,25.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000119,32.0,2.0,30.0,0.08,0,60,20,40.0,Low Risk
MHxPC130000125,45.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000132,3.0,43.0,39.0,0.94,0,20,20,20.0,Low Risk
MHxPC130000132,22.0,3.0,13.0,0,0,60,20,40.0,Low Risk
MHxPC130000133,44.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000135,43.0,4.0,0.0,0.04,0,20,20,20.0,Low Risk
MHxPC130000137,28.0,2.0,0.0,0,0,60,20,40.0,Low Risk
MHxPC130000139,29.0,12.0,95.0,00.16,0,20,20,20.0,Low Risk
MHxPC130000140,13.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000141,11.0,2.0,0.0,0,0,60,20,40.0,Low Risk
MHxPC130000142,34.0,3.0,0.0,0,0,60,20,40.0,Low Risk
MHxPC130000146,40.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000148,10.0,2.0,0.0,0,0,60,20,40.0,Low Risk
MHxPC130000154,12.0,3.0,0.0,0,0,60,20,40.0,Low Risk
MHxPC130000157,34.0,2.0,0.0,0,0,60,20,40.0,Low Risk
MHxPC130000158,13.0,2.0,0.0,0,0,60,20,40.0,Low Risk
MHxPC130000163,37.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000165,31.0,1.0,1.0,0,1,100,20,60.0,Medium Risk
MHxPC130000167,41.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000168,21.0,6.0,0.0,0,0,20,20,20.0,Low Risk
MHxPC130000178,11.0,2.0,0.0,0,0,60,20,40.0,Low Risk
MHxPC130000184,18.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000184,19.0,2.0,0.0,0,0,60,20,40.0,Low Risk
MHxPC130000185,46.0,0.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000188,25.0,3.0,0.0,0,0,60,20,40.0,Low Risk
MHxPC130000192,36.0,2.0,0.0,0,0,60,20,40.0,Low Risk
MHxPC130000195,16.0,25.0,0.0,0,0,20,20,20.0,Low Risk
MHxPC130000195,30.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000198,32.0,2.0,12.0,0,0,60,20,40.0,Low Risk
MHxPC130000207,14.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000214,32.0,2.0,0.0,0,0,60,20,40.0,Low Risk
MHxPC130000216,33.0,9.0,0.0,0,0,20,20,20.0,Low Risk
MHxPC130000217,30.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000219,8.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000220,44.0,2.0,1.0,0,0,60,20,40.0,Low Risk
MHxPC130000231,9.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000233,17.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000234,30.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000235,16.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000236,22.0,10.0,0.0,0.44,0,20,20,20.0,Low Risk
MHxPC130000236,30.0,9.0,0.0,0.26,0,20,20,20.0,Low Risk
MHxPC130000240,30.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000245,46.0,0.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000246,30.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000253,46.0,0.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000254,20.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000262,24.0,32.0,0.0,0.72,0,20,20,20.0,Low Risk
MHxPC130000267,11.0,8.0,0.0,0,0,20,20,20.0,Low Risk
MHxPC130000267,16.0,23.0,0.0,0.05,0,20,20,20.0,Low Risk
MHxPC130000269,42.0,3.0,0.0,0,0,60,20,40.0,Low Risk
MHxPC130000271,29.0,2.0,0.0,0,0,60,20,40.0,Low Risk
MHxPC130000280,17.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000283,22.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000284,21.0,2.0,0.0,0,0,60,20,40.0,Low Risk
MHxPC130000285,14.0,3.0,0.0,00,0,60,20,40.0,Low Risk
MHxPC130000289,26.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000295,23.0,7.0,0.0,0,0,20,20,20.0,Low Risk
MHxPC130000296,30.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000301,23.0,7.0,80.0,0.03,0,20,20,20.0,Low Risk
MHxPC130000302,12.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000306,21.0,1.0,14.0,0,1,100,20,60.0,Medium Risk
MHxPC130000307,35.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000308,46.0,0.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000310,18.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000311,40.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
MHxPC130000315,35.0,34.0,0.0,0.06,0,20,20,20.0,Low Risk
MHxPC130000321,21.0,1.0,0.0,0,1,100,20,60.0,Medium Risk
