student_id,week,total_logins,total_videos,total_assignments,dropout
MHxPC130000004,18.0,18.0,0.0,1,0
MHxPC130000004,30.0,26.0,0.0,0.99,0
MHxPC130000006,16.0,3.0,0.0,0,0
MHxPC130000007,12.0,5.0,0.0,0,0
MHxPC130000011,27.0,50.0,0.0,0,0
MHxPC130000016,46.0,0.0,0.0,0,1
MHxPC130000021,19.0,18.0,0.0,0,0
MHxPC130000024,32.0,3.0,0.0,0.01,0
MHxPC130000024,35.0,4.0,0.0,0,0
MHxPC130000026,17.0,1.0,0.0,0,1
MHxPC130000030,41.0,2.0,0.0,0,0
MHxPC130000031,31.0,14.0,0.0,0.66,0
MHxPC130000032,14.0,1.0,0.0,0,1
MHxPC130000033,46.0,0.0,0.0,0,1
MHxPC130000034,31.0,1.0,0.0,0,1
MHxPC130000035,17.0,1.0,0.0,0,1
MHxPC130000038,9.0,1.0,0.0,0,1
MHxPC130000049,33.0,1.0,0.0,0,1
MHxPC130000058,27.0,14.0,0.0,0,0
MHxPC130000059,1.0,1.0,0.0,0,1
MHxPC130000060,30.0,1.0,0.0,0,1
MHxPC130000071,35.0,44.0,0.0,0.7,0
MHxPC130000082,20.0,1.0,0.0,0,1
MHxPC130000088,11.0,4.0,0.0,0,0
MHxPC130000088,16.0,8.0,0.0,0,0
MHxPC130000089,9.0,1.0,0.0,0,1
MHxPC130000095,30.0,8.0,0.0,0,0
MHxPC130000099,28.0,1.0,0.0,0,1
MHxPC130000101,31.0,4.0,0.0,0,0
MHxPC130000105,2.0,1.0,0.0,0,1
MHxPC130000106,23.0,11.0,140.0,00,0
MHxPC130000109,23.0,2.0,0.0,0,0
MHxPC130000114,13.0,1.0,0.0,0,1
MHxPC130000115,25.0,1.0,0.0,0,1
MHxPC130000119,32.0,2.0,30.0,0.08,0
MHxPC130000125,45.0,1.0,0.0,0,1
MHxPC130000132,3.0,43.0,39.0,0.94,0
MHxPC130000132,22.0,3.0,13.0,0,0
MHxPC130000133,44.0,1.0,0.0,0,1
MHxPC130000135,43.0,4.0,0.0,0.04,0
MHxPC130000137,28.0,2.0,0.0,0,0
MHxPC130000139,29.0,12.0,95.0,00.16,0
MHxPC130000140,13.0,1.0,0.0,0,1
MHxPC130000141,11.0,2.0,0.0,0,0
MHxPC130000142,34.0,3.0,0.0,0,0
MHxPC130000146,40.0,1.0,0.0,0,1
MHxPC130000148,10.0,2.0,0.0,0,0
MHxPC130000154,12.0,3.0,0.0,0,0
MHxPC130000157,34.0,2.0,0.0,0,0
MHxPC130000158,13.0,2.0,0.0,0,0
MHxPC130000163,37.0,1.0,0.0,0,1
MHxPC130000165,31.0,1.0,1.0,0,1
MHxPC130000167,41.0,1.0,0.0,0,1
MHxPC130000168,21.0,6.0,0.0,0,0
MHxPC130000178,11.0,2.0,0.0,0,0
MHxPC130000184,18.0,1.0,0.0,0,1
MHxPC130000184,19.0,2.0,0.0,0,0
MHxPC130000185,46.0,0.0,0.0,0,1
MHxPC130000188,25.0,3.0,0.0,0,0
MHxPC130000192,36.0,2.0,0.0,0,0
MHxPC130000195,16.0,25.0,0.0,0,0
MHxPC130000195,30.0,1.0,0.0,0,1
MHxPC130000198,32.0,2.0,12.0,0,0
MHxPC130000207,14.0,1.0,0.0,0,1
MHxPC130000214,32.0,2.0,0.0,0,0
MHxPC130000216,33.0,9.0,0.0,0,0
MHxPC130000217,30.0,1.0,0.0,0,1
MHxPC130000219,8.0,1.0,0.0,0,1
MHxPC130000220,44.0,2.0,1.0,0,0
MHxPC130000231,9.0,1.0,0.0,0,1
MHxPC130000233,17.0,1.0,0.0,0,1
MHxPC130000234,30.0,1.0,0.0,0,1
MHxPC130000235,16.0,1.0,0.0,0,1
MHxPC130000236,22.0,10.0,0.0,0.44,0
MHxPC130000236,30.0,9.0,0.0,0.26,0
MHxPC130000240,30.0,1.0,0.0,0,1
MHxPC130000245,46.0,0.0,0.0,0,1
MHxPC130000246,30.0,1.0,0.0,0,1
MHxPC130000253,46.0,0.0,0.0,0,1
MHxPC130000254,20.0,1.0,0.0,0,1
MHxPC130000262,24.0,32.0,0.0,0.72,0
MHxPC130000267,11.0,8.0,0.0,0,0
MHxPC130000267,16.0,23.0,0.0,0.05,0
MHxPC130000269,42.0,3.0,0.0,0,0
MHxPC130000271,29.0,2.0,0.0,0,0
MHxPC130000280,17.0,1.0,0.0,0,1
MHxPC130000283,22.0,1.0,0.0,0,1
MHxPC130000284,21.0,2.0,0.0,0,0
MHxPC130000285,14.0,3.0,0.0,00,0
MHxPC130000289,26.0,1.0,0.0,0,1
MHxPC130000295,23.0,7.0,0.0,0,0
MHxPC130000296,30.0,1.0,0.0,0,1
MHxPC130000301,23.0,7.0,80.0,0.03,0
MHxPC130000302,12.0,1.0,0.0,0,1
MHxPC130000306,21.0,1.0,14.0,0,1
MHxPC130000307,35.0,1.0,0.0,0,1
MHxPC130000308,46.0,0.0,0.0,0,1
MHxPC130000310,18.0,1.0,0.0,0,1
MHxPC130000311,40.0,1.0,0.0,0,1
MHxPC130000315,35.0,34.0,0.0,0.06,0
MHxPC130000321,21.0,1.0,0.0,0,1
MHxPC130000324,15.0,15.0,0.0,0,0
MHxPC130000329,20.0,1.0,0.0,0,1
MHxPC130000333,16.0,1.0,0.0,0,1
MHxPC130000334,9.0,1.0,0.0,0,1
MHxPC130000335,20.0,3.0,15.0,0,0
MHxPC130000337,8.0,1.0,0.0,0,1
MHxPC130000341,32.0,6.0,0.0,0,0
MHxPC130000343,44.0,1.0,0.0,0,1
MHxPC130000345,30.0,2.0,0.0,0,0
MHxPC130000348,21.0,1.0,0.0,0,1
MHxPC130000350,20.0,2.0,1.0,0,0
MHxPC130000353,20.0,2.0,0.0,0,0
MHxPC130000354,20.0,2.0,0.0,00,0
MHxPC130000356,11.0,2.0,0.0,0,0
MHxPC130000358,22.0,5.0,4.0,0,0
MHxPC130000358,24.0,4.0,0.0,0,0
MHxPC130000360,12.0,1.0,0.0,0,1
MHxPC130000362,24.0,3.0,3.0,0,0
MHxPC130000367,23.0,1.0,0.0,0,1
MHxPC130000370,30.0,12.0,0.0,0,0
MHxPC130000371,46.0,0.0,0.0,0,1
MHxPC130000375,19.0,1.0,0.0,0,1
MHxPC130000376,44.0,1.0,8.0,0,1
MHxPC130000380,18.0,1.0,0.0,0,1
MHxPC130000388,11.0,1.0,0.0,0,1
MHxPC130000389,22.0,1.0,3.0,0,1
MHxPC130000391,15.0,1.0,0.0,0,1
MHxPC130000395,9.0,1.0,0.0,0,1
MHxPC130000396,15.0,3.0,0.0,0,0
MHxPC130000396,33.0,18.0,0.0,0,0
MHxPC130000398,1.0,2.0,2.0,0,0
MHxPC130000408,12.0,1.0,0.0,0,1
MHxPC130000411,8.0,3.0,0.0,00,0
MHxPC130000412,18.0,1.0,0.0,0,1
MHxPC130000413,23.0,1.0,0.0,0,1
MHxPC130000418,44.0,1.0,0.0,0,1
MHxPC130000420,26.0,2.0,0.0,0,0
MHxPC130000423,3.0,19.0,404.0,0.99,0
MHxPC130000429,46.0,0.0,0.0,0,1
MHxPC130000434,16.0,11.0,0.0,0,0
MHxPC130000436,11.0,1.0,0.0,0,1
MHxPC130000444,46.0,0.0,0.0,0,1
MHxPC130000445,26.0,1.0,0.0,0,1
MHxPC130000450,42.0,2.0,20.0,0,0
MHxPC130000455,52.0,8.0,6.0,0.02,0
MHxPC130000457,27.0,1.0,0.0,0,1
MHxPC130000460,33.0,42.0,0.0,0.02,0
MHxPC130000461,22.0,2.0,0.0,0,0
MHxPC130000462,43.0,1.0,0.0,0.01,1
MHxPC130000463,9.0,1.0,0.0,0,1
MHxPC130000464,10.0,1.0,0.0,0,1
MHxPC130000465,13.0,3.0,0.0,0,0
MHxPC130000470,35.0,15.0,257.0,0,0
MHxPC130000471,42.0,2.0,0.0,0,0
MHxPC130000473,25.0,1.0,0.0,0,1
MHxPC130000475,28.0,7.0,0.0,0,0
MHxPC130000478,20.0,4.0,0.0,0,0
MHxPC130000485,42.0,3.0,19.0,0,0
MHxPC130000493,12.0,1.0,0.0,0,1
